ccode,country_name,ctrycd,kaopen,ka_open
PNG,Papua New Guinea,853,-0.505105455716451,0.332679346203804
POL,Poland,964,-1.3705827991167705,0.12922253376907772
PRT,Portugal,182,1.222345491250356,0.7387693060768975
PRY,Paraguay,288,-0.3049335049258338,0.3797358638710446
QAT,Qatar,453,2.333585023880005,1
ROM,Romania,968,-1.5525479978985257,0.0864460716644923
RUS,Russian Federation,922,-0.38230061531066895,0.36154836416244507
RWA,Rwanda,714,-0.9807286130057441,0.2208696355422338
SAU,Saudi Arabia,456,2.1632359292772083,0.9599542617797852
SDN,Sudan,732,-1.4524526993433635,0.10997652014096577
SEN,Senegal,722,-0.505105455716451,0.332679346203804
SGP,Singapore,576,2.095773458480835,0.944095147980584
SLB,Solomon Islands,813,-0.505105455716451,0.332679346203804
SLE,Sierra Leone,724,-0.8618228236834208,0.24882206320762634
SLV,El Salvador,253,-0.08924639887279934,0.43043968247042763
SMR,San Marino,135,2.24841046333313,0.9799771308898926
SOM,Somalia,726,-1.920277714729309,0
STP,S? Tom�and Principe,716,-1.4524526993433635,0.10997652014096577
SUR,Suriname,366,-1.2965110275480483,0.14663536018795437
SVK,Slovak Republic,936,-1.2185401916503906,0.16496478021144867
SVN,Slovenia,961,-0.505105455716451,0.332679346203804
SWE,Sweden,144,1.6237971385320027,0.8331427507930331
SWZ,Swaziland,734,-0.505105455716451,0.332679346203804
SYC,Seychelles,718,1.4455072085062664,0.7912302613258362
SYR,Syrian Arab Republic,463,-1.920277714729309,0
TCD,Chad,628,-0.8618228236834208,0.24882206320762634
TGO,Togo,742,-1.2185401916503906,0.16496478021144867
THA,Thailand,578,-0.1483880877494812,0.4165366291999817
TJK,Tajikistan,923,-1.2185401916503906,0.16496478021144867
TKM,Turkmenistan,925,-1.6863652070363362,0.05498826007048289
TON,Tonga,866,-0.144156104988522,0.41753148370318943
TTO,Trinidad and Tobago,369,0.8425763381852044,0.6494930022292666
TUN,Tunisia,744,-0.7429170343610976,0.2767744908730189
TUR,Turkey,186,-0.505105455716451,0.332679346203804
TZA,Tanzania,738,-1.1289719078275893,0.18602053489949968
UGA,Uganda,746,-0.5609611587391959,0.31954876250690883
UKR,Ukraine,926,-1.4524526993433635,0.10997652014096577
URY,Uruguay,298,1.1332005427943335,0.7178130745887756
USA,United States,111,2.333585023880005,1
UZB,Uzbekistan,927,-0.8501256704330444,0.2515718340873718
VCT,St. Vincent and the Grenadines,364,-0.505105455716451,0.332679346203804
VEN,"Venezuela, RB",299,-0.06712193455961016,0.43564071423477596
VNM,Vietnam,582,-1.4524526993433635,0.10997652014096577
VUT,Vanuatu,846,2.333585023880005,1
WSM,Samoa,862,-1.0957353313763936,0.19383380313714346
YEM,"Yemen, Rep.",474,0.9962798655033112,0.6856256946921349
ZAF,South Africa,199,-1.1737061738967896,0.17550438145796457
ZAR,"Congo, Dem. Rep.",636,-1.1617571512858074,0.1783133629295561
ZMB,Zambia,754,-0.7578471170531379,0.2732647160689036
ZWE,Zimbabwe,698,-1.5304235352410211,0.09164710011747149
