oecd,country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,oecd.x,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,lpop,continent
0,Argentina,0,0,213,0,183,0,0.2680000066757202,0,0,0,1,0,0,2.700000047683716,91.5999984741211,0,0.17693181335926056,4.4759111404418945,5.549095153808594,9.602700233459473,8.392950057983398,0.08900000154972076,0.5789999961853027,0,0.8360000252723694,1.7230000495910645,-36.67599868774414,2.3333332538604736,14.000483512878418,12.31047534942627,6.754078388214111,5831.07470703125,18.420076370239258,61.377384185791016,9.293244361877441,1,94.80000305175781,0,1983,1983,257.1111145019531,0,1,8.6709566116333,0,0,0,1,1983,0.4075110852718353,0.08500000089406967,7,-0.5086033940315247,6.506667137145996,1,0.09334748983383179,0.18897640705108643,0,1.8993865251541138,NA,0,0,1,257.1111145019531,0,NA,0,2.3333332538604736,NA,0.08500000089406967,0,17.350513458251953,laam
1,Australia,1,1,193,1,98,0.6079999804496765,0,0,1,0,0,0,0,23.5,29.600000381469727,0,0.11279711127281189,2.0826127529144287,1.7978324890136719,10.30420970916748,8.671030044555664,0.6890000104904175,0.9309999942779541,0.949999988079071,0.949999988079071,1.4040000438690186,-32.21900177001953,1,25.783267974853516,24.2291202545166,8.600190162658691,15499.72265625,38.79273223876953,66.80671691894531,11.663296699523926,1,111.3375015258789,0,1901,1901,147.6666717529297,1,0,9.648577690124512,0,1,0,0,1901,0.3579888939857483,0.4950000047683716,10,-0.6793869137763977,1.340000033378601,1,1,0.190476194024086,1,4.493364334106445,39.86000061035156,0,0,0,0,1,39.86000061035156,0.4950000047683716,0,0,0,0,16.69928084479438,other
1,Austria,0,0,122,0,250,0,0,0,0,0,0,1,0,6.5,88.80000305175781,0,0.03321225196123123,2.5625498294830322,2.085785388946533,10.1316499710083,8.80521011352539,0.777999997138977,0.9490000009536743,0,0.9800000190734863,3.6010000705718994,48.23099899291992,1,40.145626068115234,36.202430725097656,17.882038116455078,13313.134765625,78.262054443359375,67.45172882080078,15.100342750549316,1,103.95714569091797,0,1945,1945,183,0,0,9.496506690979004,0,0,0,0,1945,0.5358999967575073,0.2750000059604645,10,-4.410099983215332,2.478332996368408,1,0.04918032884597778,0.07287450134754181,1,0.39891570806503296,29,1,0,0,183,0,0,0,0,0,0,1,15.891295856899685,other
0,Bahamas,1,1,313,1,26,0.8960000276565552,0,0,1,0,0,0,0,47.20000076293945,25.5,0,0,4.05254602432251,4.0052337646484375,NA,NA,NA,0.6140000224113464,0.8650000095367432,0.8650000095367432,3.638000011444092,24.700000762939453,1.7222222089767456,18.809762954711914,17.460113525390625,0.950142502784729,11768.3603515625,101.83389282226562,63.95685577392578,4.3898844718933105,0,95.30000305175781,0,1973,1973,47,1,0,9.373169898986816,0,1,0,0,1973,0.27444446086883545,0.13500000536441803,NA,-2.3542580604553223,NA,1,1,1,0,0.592740535736084,45,0,1,0,0,1.7222222089767456,45,0.13500000536441803,0,0,0,0,12.517755296495226,laam
0,Bangladesh,1,1,513,0,28,0,0,0.8880000114440918,1,0,0,0,0,0.20000000298023224,0.20000000298023224,0,0,6.129216194152832,5.578218936920166,8.413820266723633,8.6571197509765625,0,0.31299999356269836,0,0,2.3329999446868896,23.8799991607666,3.1666667461395264,12.565011978149414,13.791308403015137,0.12925264239311218,1611.7850341796875,25.352510452270508,53.811126708984375,3.2321650981903076,0,43.599998474121094,0.10000000149011612,1991,1991,330,1,0,7.385097503662109,0,0.8888888955116272,0.1111111119389534,0,1991,0.2653333246707916,0.04500000178813934,4.777778148651123,1.1960450410842896,7.710000038146973,0,0.9090908765792847,1,0,0.018437335267663002,33.63500213623047,0,0,1,0,3.1666667461395264,33.63500213623047,0.04500000178813934,0,0,0,0,NA,asiae
0,Barbados,1,1,316,1,33,0.8679999709129333,0,0,1,0,0,0,0,33.20000076293945,5.900000095367432,0,0.07333333045244217,NA,NA,9.568699836730957,8.54757022857666,1,0.7390000224113464,1,1,4.0269999504089355,13.178999900817871,1,32.3621940612793,NA,NA,7094.70263671875,116.35070037841797,65.1791000366211,11.119802474975586,0,NA,0,1966,1966,27.88888931274414,1,0,8.867103576660156,0,1,0,0,1966,0.14643333852291107,0.17000000178813934,NA,NA,NA,1,1,1,0,0.5067324638366699,49,0,1,0,0,1,49,0.17000000178813934,0,0,0,0,12.479826185438368,laam
0,Belarus,1,1,913,0,8,0,0,0.9679999947547913,0,1,0,0,0,0,14,0,0.12470000237226486,6.317848205566406,6.307248115539551,NA,NA,NA,NA,NA,NA,NA,NA,4.875,35.52255630493164,33.16173553466797,11.75855827331543,1569.1209716796875,116.5235366821289,66.33025360107422,12.002030372619629,NA,93.28571319580078,NA,1991,1991,145.1999969482422,1,1,7.358270645141602,0,0,1,0,1991,NA,0.04500000178813934,0.875,-0.025144999846816063,6.199999809265137,0,1,NA,0,NA,29,0,0,1,0,4.875,29,0.04500000178813934,4.875,29,0.04500000178813934,0,NA,other
1,Belgium,0,0,124,0,169,0,0,0.3240000009536743,0,0,1,0,0,0.4000000059604645,90,0,0.363834410905838,3.2334766387939453,3.65661358833313,10.296770095825195,8.804739952087402,0.777999997138977,0.9539999961853027,0,0.3449999988079071,3.9600000381469727,50.83700180053711,1.1666666269302368,47.9390869140625,43.65851974487305,19.65333366394043,13729.2109375,132.14190673828125,66.41313934326172,15.758146286010742,0,116.5,0,1899,1853,184.44444274902344,0,0,9.527280807495117,0,0,0,0,1853,0.5648555755615234,0.7350000143051147,10,-4.528397083282471,4.043333053588867,1,0.13787561655044556,0.09707619994878769,1,0.15599921345710754,26.5,0,0,0,184.44444274902344,0,0,0,0,0,0,1,16.12812042236328,other
0,Belize,1,1,339,1,18,0.9279999732971191,0,0,1,0,0,0,0,13.199999809265137,66.80000305175781,0,0.40909090638160706,NA,NA,9.278050422668457,NA,NA,NA,0.6100000143051147,0.9399999976158142,4.4710001945495605,17.843000411987305,1.0555555820465088,30.06591033935547,24.040077209472656,1.2210232019424438,4099.5615234375,112.60271453857422,53.44993209838867,4.692859649658203,0,94.279998779296875,0,1981,1981,28.66666603088379,1,0,8.318634986877441,0,1,0,0,1981,0.19825555384159088,0.0949999988079071,NA,NA,NA,1,1,1,0,0.5678035020828247,NA,0,0,1,0,1.0555555820465088,NA,0.0949999988079071,0,NA,0,0,12.25931485493978,laam
0,Bolivia,0.11623930186033249,0.11623930186033249,218,0,174,0,0.30399999022483826,0,0,0,1,0,0,2.299999952316284,92.5,0,0.5994117856025696,5.445847034454346,5.875754356384277,8.507650375366211,7.640480041503906,0.7329999804496765,0.38100001215934753,0,0.3720000088214874,2.0869998931884766,-15.1899995803833,2.444444417953491,20.981212615966797,15.92514419555664,3.8716928958892822,1794.201904296875,48.88423538208008,55.533180236816406,3.7975311279296875,0,76.9000015258789,0,1986.6666259765625,1982,130,0,1,7.492315769195557,0,0,0,1,1982,0.16877777874469757,0.09000000357627869,9,-2.1070759296417236,7.309999942779541,1,0.06923079490661621,0.13526789844036102,0,6.682807445526123,42,0,0,1,114.8888931274414,0,0,0,2.444444417953491,42,0.09000000357627869,0,15.794207678900825,laam
